pair_id,Bob_basis,Bob_outcome
337,161.30641196996532,-1
338,161.30641196996532,-1
339,34.97942772230273,-1
340,34.97942772230273,-1
341,34.97942772230273,1
342,161.30641196996532,1
343,34.97942772230273,1
344,34.97942772230273,1
345,161.30641196996532,-1
346,161.30641196996532,1
347,34.97942772230273,-1
348,34.97942772230273,1
349,161.30641196996532,-1
350,34.97942772230273,1
351,161.30641196996532,1
352,161.30641196996532,-1
353,34.97942772230273,1
354,161.30641196996532,-1
355,161.30641196996532,-1
356,161.30641196996532,1
357,161.30641196996532,1
358,34.97942772230273,1
359,161.30641196996532,-1
360,161.30641196996532,1
361,34.97942772230273,1
362,161.30641196996532,-1
363,161.30641196996532,1
364,34.97942772230273,-1
365,161.30641196996532,-1
366,34.97942772230273,-1
367,34.97942772230273,-1
368,34.97942772230273,1
369,161.30641196996532,1
370,34.97942772230273,-1
371,161.30641196996532,1
372,34.97942772230273,1
373,34.97942772230273,-1
374,161.30641196996532,1
375,34.97942772230273,-1
376,161.30641196996532,-1
377,161.30641196996532,-1
378,34.97942772230273,1
379,161.30641196996532,-1
380,34.97942772230273,1
381,161.30641196996532,-1
382,34.97942772230273,-1
383,34.97942772230273,1
384,161.30641196996532,1
385,161.30641196996532,1
386,161.30641196996532,-1
387,161.30641196996532,-1
388,161.30641196996532,1
389,161.30641196996532,1
390,161.30641196996532,-1
391,34.97942772230273,-1
392,161.30641196996532,1
393,34.97942772230273,1
394,161.30641196996532,-1
395,34.97942772230273,-1
396,34.97942772230273,1
397,161.30641196996532,1
398,161.30641196996532,1
399,34.97942772230273,1
400,161.30641196996532,-1
401,161.30641196996532,-1
402,34.97942772230273,1
403,34.97942772230273,-1
404,161.30641196996532,1
405,161.30641196996532,-1
406,161.30641196996532,1
407,161.30641196996532,1
408,161.30641196996532,-1
409,161.30641196996532,-1
410,161.30641196996532,-1
411,34.97942772230273,1
412,34.97942772230273,-1
413,161.30641196996532,1
414,161.30641196996532,-1
415,34.97942772230273,-1
416,161.30641196996532,-1
417,34.97942772230273,-1
